City_ID,City,Country,Lat,Lng,Date/Time,Max Temp (F),Humidity (%),Wind Speed (mph),Cloud Cover (%)
136,cape town,ZA,-33.93,18.42,Wed Jun 13 09:00:00 2018,73.4,35,9.17,0
137,iqaluit,CA,63.75,-68.52,Wed Jun 13 09:00:00 2018,35.6,96,20.8,90
138,fort-shevchenko,KZ,44.51,50.26,Wed Jun 13 09:56:27 2018,74.2,59,3.62,0
139,severo-kurilsk,RU,50.68,156.12,Wed Jun 13 09:56:27 2018,38.02,100,16.26,92
140,arraial do cabo,BR,-22.97,-42.02,Wed Jun 13 10:00:00 2018,80.6,65,4.7,0
141,torbay,CA,47.66,-52.73,Wed Jun 13 09:26:00 2018,50.0,93,19.46,90
142,ahipara,NZ,-35.17,173.16,Wed Jun 13 09:56:28 2018,56.65,91,9.66,88
143,bandarbeyla,SO,9.49,50.81,Wed Jun 13 09:56:29 2018,79.15,79,32.93,0
144,vuktyl,RU,63.86,57.31,Wed Jun 13 09:56:29 2018,52.6,96,7.43,92
145,caravelas,BR,-17.73,-39.27,Wed Jun 13 09:56:30 2018,77.62,98,10.45,0
146,waipawa,NZ,-39.94,176.59,Wed Jun 13 09:56:30 2018,50.89,94,9.44,92
147,khomutovo,RU,52.85,37.45,Wed Jun 13 09:56:30 2018,72.31,65,5.97,0
148,acajutla,SV,13.59,-89.83,Wed Jun 13 08:50:00 2018,84.2,79,1.12,40
149,buritis,BR,-15.62,-46.42,Wed Jun 13 09:56:31 2018,83.74,53,6.87,0
150,meulaboh,ID,4.14,96.13,Wed Jun 13 09:56:32 2018,82.03,100,3.4,48
151,vaini,IN,15.34,74.49,Wed Jun 13 09:56:32 2018,70.42,98,4.29,100
152,teya,MX,21.05,-89.07,Wed Jun 13 08:50:00 2018,86.0,66,13.87,75
153,bambous virieux,MU,-20.34,57.76,Wed Jun 13 09:00:00 2018,75.2,69,14.99,75
154,zaragoza,ES,41.65,-0.88,Wed Jun 13 09:30:00 2018,77.0,49,28.86,20
155,thompson,CA,55.74,-97.86,Wed Jun 13 09:10:00 2018,57.2,76,3.36,75
156,kodiak,US,39.95,-94.76,Wed Jun 13 08:53:00 2018,75.2,50,13.87,1
157,nsanje,MZ,-16.92,35.26,Wed Jun 13 09:56:37 2018,70.33,84,4.18,92
158,the pas,CA,53.82,-101.24,Wed Jun 13 09:00:00 2018,60.8,63,10.29,1
159,masalli,KR,34.8,126.66,Wed Jun 13 09:00:00 2018,68.0,77,9.17,12
160,talnakh,RU,69.49,88.39,Wed Jun 13 09:56:38 2018,42.79,100,3.18,20
161,ilulissat,GL,69.22,-51.1,Wed Jun 13 08:50:00 2018,32.0,97,4.7,90
162,vallenar,CL,-28.58,-70.76,Wed Jun 13 09:56:39 2018,54.4,56,1.28,0
163,cap-aux-meules,CA,47.38,-61.86,Wed Jun 13 09:00:00 2018,51.8,62,20.8,40
164,san quintin,PH,17.54,120.52,Wed Jun 13 09:00:00 2018,77.0,100,13.87,90
165,victoria,BN,5.28,115.24,Wed Jun 13 09:00:00 2018,80.6,94,1.12,75
166,okhotsk,RU,59.36,143.24,Wed Jun 13 09:56:40 2018,38.02,100,2.17,12
167,bonavista,CA,48.65,-53.11,Wed Jun 13 09:56:41 2018,46.57,82,22.97,92
168,manokwari,ID,-0.87,134.08,Wed Jun 13 09:56:41 2018,78.07,100,8.1,80
169,lebu,ET,8.96,38.73,Wed Jun 13 09:56:44 2018,55.3,100,0.72,92
170,qostanay,KZ,53.17,63.58,Wed Jun 13 09:00:00 2018,59.0,54,6.71,75
171,victor harbor,AU,-35.55,138.62,Wed Jun 13 09:00:00 2018,55.4,82,17.22,75
172,kamenka,RU,53.19,44.05,Wed Jun 13 09:56:45 2018,61.6,98,9.44,12
173,cherskiy,RU,68.75,161.3,Wed Jun 13 09:56:45 2018,55.21,48,3.18,8
174,kimbe,PG,-5.56,150.15,Wed Jun 13 09:56:45 2018,78.43,100,6.64,92
175,guba,PH,10.43,123.89,Wed Jun 13 09:00:00 2018,84.2,74,8.05,75
176,inuvik,CA,68.36,-133.71,Wed Jun 13 09:00:00 2018,51.8,53,3.36,40
177,jiazi,CN,19.61,110.49,Wed Jun 13 09:00:00 2018,82.4,78,4.47,20
178,namatanai,PG,-3.66,152.44,Wed Jun 13 09:56:47 2018,78.07,100,11.68,76
179,port elizabeth,US,39.31,-74.98,Wed Jun 13 09:25:00 2018,75.2,83,9.17,90
180,chilca,PE,-13.22,-72.34,Wed Jun 13 09:30:00 2018,55.4,47,3.36,75
181,tual,ID,-5.67,132.75,Wed Jun 13 09:56:48 2018,79.78,100,12.12,68
182,puerto colombia,CO,10.99,-74.96,Wed Jun 13 09:00:00 2018,87.8,74,6.93,40
183,muzhi,RU,65.4,64.7,Wed Jun 13 09:56:49 2018,55.57,63,10.67,0
184,tabuk,PH,17.41,121.44,Wed Jun 13 09:56:53 2018,72.4,86,1.83,92
185,palauig,PH,15.44,119.9,Wed Jun 13 09:56:53 2018,74.11,100,10.67,92
186,komsomolskiy,RU,67.55,63.78,Wed Jun 13 09:56:53 2018,37.39,84,9.22,0
187,atuona,PF,-9.8,-139.03,Wed Jun 13 09:54:58 2018,79.6,100,12.91,44
188,sinnamary,GF,5.38,-52.96,Wed Jun 13 09:56:54 2018,75.19,100,3.4,92
189,kavieng,PG,-2.57,150.8,Wed Jun 13 09:56:54 2018,78.97,100,5.41,92
190,moron,VE,10.49,-68.2,Wed Jun 13 09:56:55 2018,81.67,70,3.06,0
191,fortuna,ES,38.18,-1.13,Wed Jun 13 09:30:00 2018,86.0,64,12.75,20
192,pangnirtung,CA,66.15,-65.72,Wed Jun 13 09:00:00 2018,35.6,93,4.7,90
193,paamiut,GL,61.99,-49.67,Wed Jun 13 09:56:56 2018,35.32,100,12.46,68
194,juegang,CN,32.31,121.18,Wed Jun 13 09:56:57 2018,75.28,76,16.6,36
195,kiama,AU,-34.67,150.86,Wed Jun 13 09:56:58 2018,50.44,86,6.87,0
196,yamada,JP,36.58,137.08,Wed Jun 13 09:00:00 2018,60.8,72,14.99,20
197,russell,AR,-33.01,-68.8,Wed Jun 13 09:00:00 2018,42.8,48,3.36,0
198,port hawkesbury,CA,45.62,-61.36,Wed Jun 13 09:00:00 2018,64.4,63,16.11,1
199,naze,NG,5.43,7.07,Wed Jun 13 09:00:00 2018,89.6,62,9.17,75
200,namibe,AO,-15.19,12.15,Wed Jun 13 09:56:59 2018,74.02,89,17.49,0
201,lodja,CD,-3.52,23.6,Wed Jun 13 09:56:59 2018,94.36,20,4.97,0
